StationCode,saltwater
B03_KEL20O,True
B03_KEL2100L,True
B03_KEL2100LO,True
B03_KEL2100R,True
B03_KEL2100RO,True
B03_KEL225L,True
B03_KEL225LO,True
B03_KEL225R,True
B03_KEL225RO,True
B03_KEL225RSH,True
B03_KEL250LO,True
B03_KEL250LSH,True
B03_KEL250RO,True
B03_KEL250RSH,True
B03_KEL280LO,True
B03_KEL280LSH,True
B03_KEL2O,True
B03_MMT SHORE,True
B03_MMT SURF,True
B03_SEL 0MSL,True
B03_SEL 0MSZ,True
B03_SEL 225LSL,True
B03_SEL 225LSZ,True
B03_SEL 225RSL,True
B03_SEL 225RSZ,True
B03_SEL 25LSL,True
B03_SEL 25LSZ,True
B03_SEL 25RSL,True
B03_SEL 25RSZ,True
B03_SEL 75LSL,True
B03_SEL 75LSZ,True
B03_SEL 75RSL,True
B03_SEL 75RSZ,True
B03_TJ RIVER 225L SHORE,True
B03_TJ RIVER 225L SURF,True
B03_TJ RIVER 225R SHORE,True
B03_TJ RIVER 225R SURF,True
B03_TJ RIVER 25L SHORE,True
B03_TJ RIVER 25L SURF,True
B03_TJ RIVER 25R SHORE,True
B03_TJ RIVER 25R SURF,True
B03_TJ RIVER 75L SHORE,True
B03_TJ RIVER 75L SURF,True
B03_TJ RIVER 75R SHORE,True
B03_TJ RIVER 75R SURF,True
B03_TJ RIVER SHORE,True
B03_TJ RIVER SURF,True
B03_TJ RIVER UPSTREAM,False
BC-030,True
BDP07,True
BDP08,True
BDP12,True
BDP13,True
BDP14,True
BDP15,True
BDP16,True
BDP17,True
BHH04,True
BHH05,True
BHH06,False
BHH08,True
BHH09,True
BHH11,True
BHH12,True
BHH13,False
BHH15,True
BHH16,True
BNB01,True
BNB02,True
BNB03,True
BNB05,True
BNB07,True
BNB09,True
BNB10,True
BNB11,True
BNB12,True
BNB14,True
BNB15,True
BNB17,True
BNB18,True
BNB20,True
BNB21,True
BNB22,True
BNB23,True
BNB24E,False
BNB24M,True
BNB24N,True
BNB24W,True
BNB25,False
BNB26,True
BNB28,True
BNB29,True
BNB30,True
BNB31,True
BNB32,True
BNB33,True
BNB34,True
BNB35,True
BNS01,True
BNS02,True
BVC-TWAS-1,False
Bean Hollow State Beach,True
C-1,True
C-2,True
C1,True
CB-01,True
CB-02,True
CBCW1,True
CC-SD8(1),False
CDBNC,True
CLBBC,True
CLBEB,True
CNB45,True
CNBBC,True
CNBBG,True
CNBCC,True
CNBCD,True
CNBCU,False
CNBEU,False
CNBMC,True
CNBND,False
CNBPM,True
CNBPP,True
CNBPW,True
CNBSA,True
CSGR1,True
CSGRM,True
CSLSC,True
Cliff's Marina,False
Crown 2001 Shoreline Dr.,True
Crown Bath House,True
Crown Bird Sanctuary,True
Crown Sunset Rd.,True
Crown Windsurfer Corner,True
DHS001,True
DHS004,True
DHS009,True
DHS010,True
DHS101,True
DHS113,True
DHS121,True
DM-SID-1,False
Discovery,False
EH-010,True
EH-020,True
